Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Audero;P;6;imgBonus size-s imgBonus_10;525
Riserva;Pasqual;D;;;359
Titolare;Colley;D;6.5;;1745
Titolare;Murru;D;6.5;imgBonus size-s imgBonus_9;839
Titolare;Krunic;C;5;imgBonus size-s imgBonus_7;498
Riserva;Romulo;C;;;405
Titolare;Linetty;C;6.5;;1294
Titolare;Caputo;A;5;;1832
Titolare;Kouame;A;6;;1836
Titolare;Icardi;A;6.5;;32
Titolare;Quagliarella;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;386
Riserva;Rafael C.;P;;;391
Titolare;Pezzella Ge.;D;6.5;imgBonus size-s imgBonus_6;1644
Riserva;Silvestre;D;5;imgBonus size-s imgBonus_6;428
Titolare;Brozovic;C;6;imgBonus size-s imgBonus_6;113
Riserva;Ruiz;C;5.5;;1779
Riserva;Mertens;A;5.5;;326
Riserva;Zapata D.;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;483
