Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sepe;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;424
Titolare;Toloi;D;5.5;imgBonus size-s imgBonus_1;1013
Titolare;Skriniar;D;6.5;;1099
Titolare;De Silvestri;D;6;;163
Titolare;Hateboer;D;7;;1451
Riserva;Sensi;C;;;1275
Titolare;Douglas Costa;C;6;;1528
Titolare;Rincon;C;7;;398
Titolare;Benassi;C;5.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_7;81
Titolare;Inglese;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3;543
Titolare;Cutrone;A;5.5;imgBonus size-s imgBonus_6;1390
Riserva;Skorupski;P;5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;429
Riserva;Vrsaljko;D;;;473
Riserva;Gosens;D;;;1533
Titolare;Belotti;A;6;imgBonus size-s imgBonus_6;79
Riserva;Verdi;A;;;466
Riserva;Schick;A;;;1217
Riserva;Martinez L.;A;5.5;;1747
