Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Handanovic;P;6;imgBonus size-s imgBonus_10;237
Titolare;Malcuit;D;6;;1853
Titolare;Mancini G.;D;6;;1549
Titolare;Bruno Alves;D;6.5;imgBonus size-s imgBonus_6;1187
Titolare;Calabria;D;6;;668
Titolare;Allan;C;5.5;imgBonus size-s imgBonus_6;53
Titolare;Correa;C;7;;148
Titolare;Santander;A;6;;1797
Titolare;Insigne L.;A;6;imgBonus size-s imgBonus_1;251
Titolare;Piatek;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1807
Titolare;Ilicic;A;7;imgBonus size-s imgBonus_9;249
Riserva;Viviano;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;472
Riserva;Dijks;D;6.5;;1798
Riserva;Durmisi;D;;;1782
Riserva;De Vrij;D;6.5;;164
Riserva;Laxalt;C;5.5;;276
Riserva;Giaccherini;C;5.5;imgBonus size-s imgBonus_6;1038
Riserva;Gabbiadini;A;5;;208
