Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;6;imgBonus size-s imgBonus_2;181
Titolare;Rugani;D;6;;413
Titolare;Romagnoli A.;D;6.5;;404
Titolare;Criscito;D;6;;1804
Titolare;Lazovic;C;5.5;;669
Titolare;Perotti;C;5.5;;371
Titolare;Chiesa;C;6;;1128
Titolare;Calhanoglu;C;6.5;;1507
Titolare;El Shaarawy;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;190
Titolare;Petagna;A;5.5;imgBonus size-s imgBonus_6;1193
Titolare;Luis Alberto;A;6;;1367
Riserva;Strakosha;P;6;imgBonus size-s imgBonus_2;439
Riserva;Florenzi;D;5.5;imgBonus size-s imgBonus_7|imgBonus size-s imgBonus_9;202
Riserva;Danilo;D;6;;152
Riserva;Emre Can;C;6.5;imgBonus size-s imgBonus_3;1746
Riserva;Gagliardini;C;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;733
Riserva;Berardi;A;6.5;imgBonus size-s imgBonus_1;84
Riserva;Ciano;A;6;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1811
