Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sirigu;P;6;imgBonus size-s imgBonus_10;1522
Titolare;Acerbi;D;6;;40
Titolare;Nkoulou;D;6.5;;1633
Titolare;Biraghi;D;6;;95
Titolare;Traore;C;6.5;;1831
Titolare;Kurtic;C;5.5;;272
Titolare;De Paul;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3;1274
Titolare;Freuler;C;6;;1091
Titolare;Schick;A;6;imgBonus size-s imgBonus_6;1217
Titolare;Immobile;A;6.5;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_9;1084
Titolare;Politano;A;6.5;imgBonus size-s imgBonus_6;510
Riserva;Lafont;P;6.5;imgBonus size-s imgBonus_2;1795
Riserva;Silvestre;D;6;imgBonus size-s imgBonus_6;428
Riserva;Samir;D;5.5;imgBonus size-s imgBonus_6;1092
Riserva;Saponara;C;6;imgBonus size-s imgBonus_6;418
Riserva;Duncan;C;5.5;;184
Riserva;Under;C;;;1555
Riserva;Lirola;D;6;;1295
