Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Meret;P;;;325
Titolare;Alex Sandro;D;6;;993
Titolare;Milenkovic;D;5.5;;1552
Titolare;Conti A.;D;4.5;imgBonus size-s imgBonus_6;730
Titolare;Barella;C;6;;809
Titolare;Lulic;C;6;imgBonus size-s imgBonus_6;290
Titolare;Lazzari;C;6.5;;1542
Titolare;Kucka;C;6.5;imgBonus size-s imgBonus_1;271
Titolare;Milik;A;6;;1296
Titolare;Gervinho;A;6.5;imgBonus size-s imgBonus_6;719
Titolare;Icardi;A;6;;32
Riserva;Karnezis;P;;;263
Riserva;Okaka;A;;;348
Riserva;Lucas Leiva;C;5.5;;1602
Riserva;Iacoponi;D;6;;1753
Riserva;Bernardeschi;C;5;;86
Riserva;Ramirez;C;4;imgBonus size-s imgBonus_7;1630
Titolare;Ospina;P;6;imgBonus size-s imgBonus_10;1869
