Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Cragno;P;6.5;imgBonus size-s imgBonus_2;849
Titolare;Izzo;D;6;;254
Titolare;Bonucci;D;6.5;;31
Titolare;Ferrari G.;D;5.5;imgBonus size-s imgBonus_6;1168
Titolare;Matuidi;C;6;;1640
Titolare;Castro;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;528
Titolare;Schiattarella;C;6;imgBonus size-s imgBonus_6;1539
Titolare;Babacar;A;5.5;;66
Titolare;Gomez A.;A;6;;224
Titolare;Higuain;A;7;imgBonus size-s imgBonus_1;242
Titolare;Simeone;A;5.5;;1343
Riserva;Berisha E.;P;6.5;imgBonus size-s imgBonus_10;85
Riserva;Vitor Hugo;D;6;;1548
Riserva;Marusic;D;5.5;;1506
Riserva;Zielinski;C;6;;486
Riserva;Bessa;C;6.5;imgBonus size-s imgBonus_9;1209
Riserva;Pandev;A;;;675
Riserva;Sau;A;;;872
