Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Radu A.;P;6;imgBonus size-s imgBonus_2;1158
Titolare;De Vrij;D;6.5;;164
Titolare;Izzo;D;5.5;;254
Titolare;Toljan;D;5;imgBonus size-s imgBonus_6;2043
Titolare;Suso;C;5;;443
Titolare;Luis Alberto;C;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1367
Titolare;Berenguer;C;7.5;imgBonus size-s imgBonus_1;1547
Titolare;Kulusevski;C;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;1739
Titolare;Dzeko;A;6.5;;759
Titolare;Gervinho;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;719
Titolare;Lapadula;A;5;imgBonus size-s imgBonus_6;1264
Riserva;Audero;P;6;imgBonus size-s imgBonus_10;525
Riserva;Leao;A;6.5;;2089
Riserva;Bisoli;C;6.5;imgBonus size-s imgBonus_9;1993
Riserva;Hernani;C;5.5;;2050
Riserva;Murgia;C;5.5;;1120
Riserva;Marlon;D;6.5;imgBonus size-s imgBonus_6;1872
Riserva;Murru;D;6;;839
