Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ospina;P;6;imgBonus size-s imgBonus_2;1869
Titolare;De Silvestri;D;6;;163
Titolare;Bani;D;5.5;imgBonus size-s imgBonus_6;1513
Titolare;Troost-Ekong;D;6;;1873
Titolare;Pellegrini Lu.;D;5;imgBonus size-s imgBonus_6;1725
Titolare;Kluivert;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1791
Titolare;Ionita;C;5;;252
Titolare;Under;C;7;imgBonus size-s imgBonus_6;1555
Titolare;Okaka;A;6;;348
Riserva;Caicedo;A;;;1631
Titolare;Immobile;A;6.5;imgBonus size-s imgBonus_9;1084
Riserva;Meret;P;;;325
Titolare;Balotelli;A;5.5;imgBonus size-s imgBonus_6;1012
Riserva;Poli A.;C;6.5;;380
Riserva;Sanabria;A;7;imgBonus size-s imgBonus_9;416
Riserva;Calderoni;D;5;;515
Riserva;Di Francesco;C;;;1206
Riserva;Calabria;D;;;668
