Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;6;imgBonus size-s imgBonus_2;181
Titolare;Kolarov;D;6;imgBonus size-s imgBonus_1;1600
Titolare;Criscito;D;7;imgBonus size-s imgBonus_3;1804
Titolare;Gosens;D;6;imgBonus size-s imgBonus_6;1533
Titolare;Calhanoglu;C;6;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;1507
Titolare;Milinkovic S.;C;6.5;imgBonus size-s imgBonus_1;760
Titolare;Pulgar;C;6;;931
Riserva;Zielinski;C;;;486
Titolare;Pandev;C;6.5;;675
Titolare;Lozano;A;5.5;imgBonus size-s imgBonus_6;2108
Titolare;Pinamonti;A;6;;1306
Riserva;Strakosha;P;6;imgBonus size-s imgBonus_2;439
Titolare;Orsolini;C;6;;1519
Riserva;Castagne;D;6;;1515
Riserva;Manolas;D;;;300
Riserva;Romagnoli A.;D;6;;404
Riserva;Di Carmine;A;;;2067
Riserva;Vlahovic;A;;;1816
