Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Gollini;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;222
Titolare;Lirola;D;6;imgBonus size-s imgBonus_6;1295
Titolare;Demiral;D;5;;1927
Titolare;Acerbi;D;6.5;;40
Titolare;Malinovskyi;C;6.5;;2078
Titolare;Veretout;C;6.5;imgBonus size-s imgBonus_6;1607
Titolare;Tonali;C;7;;1996
Titolare;Ribery;C;7.5;imgBonus size-s imgBonus_1;2106
Titolare;Muriel;A;5.5;;341
Titolare;Belotti;A;5;;79
Titolare;Kouame;A;6.5;imgBonus size-s imgBonus_1;1836
Riserva;Joronen;P;6;imgBonus size-s imgBonus_10;2002
Riserva;Schone;C;5.5;;2095
Riserva;Ronaldo Vieira;C;5.5;;1845
Riserva;Zapata D.;A;5;;483
Riserva;Bonucci;D;6;;31
Riserva;Malcuit;D;6.5;;1853
Riserva;Barella;C;6.5;imgBonus size-s imgBonus_9;809
