Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Gollini;P;7;imgBonus size-s imgBonus_2;222
Titolare;De Ligt;D;6;;2047
Titolare;Bereszynski;D;4.5;imgBonus size-s imgBonus_8;1413
Titolare;Caceres;D;6.5;;118
Titolare;Candreva;C;5.5;;33
Titolare;Malinovskyi;C;5.5;;2078
Titolare;Ribery;C;7;imgBonus size-s imgBonus_9;2106
Titolare;Douglas Costa;C;5.5;;1528
Titolare;Belotti;A;6;;79
Titolare;Torregrossa;A;6.5;imgBonus size-s imgBonus_6;553
Titolare;Zapata D.;A;7;imgBonus size-s imgBonus_1;483
Riserva;Joronen;P;6.5;imgBonus size-s imgBonus_2;2002
Riserva;Bonucci;D;6;imgBonus size-s imgBonus_6;31
Riserva;Acerbi;D;6.5;;40
Riserva;Tonali;C;5.5;;1996
Riserva;Saponara;C;6;imgBonus size-s imgBonus_6;418
Riserva;Fofana;C;5.5;;1233
Riserva;Barrow;A;;;1705
