Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Gollini;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;222
Titolare;Lirola;D;5.5;;1295
Titolare;Bonucci;D;6.5;;31
Titolare;Acerbi;D;6.5;;40
Riserva;Douglas Costa;C;;;1528
Titolare;Fofana;C;6;imgBonus size-s imgBonus_6;1233
Titolare;Saponara;C;5;;418
Riserva;Barella;C;;;809
Titolare;Belotti;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;79
Titolare;Zapata D.;A;5;;483
Titolare;Barrow;A;5.5;;1705
Riserva;Sportiello;P;;;435
Titolare;Depaoli;D;6;;1102
Riserva;Di Lorenzo;D;6;;1822
Riserva;Caceres;D;4;imgBonus size-s imgBonus_7;118
Riserva;De Ligt;D;6.5;;2047
Riserva;Sottil;C;;;1595
Titolare;Candreva;C;6.5;imgBonus size-s imgBonus_9;33
