Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;6;imgBonus size-s imgBonus_10;181
Riserva;Kolarov;D;;;1600
Titolare;Romagnoli A.;D;6;;404
Titolare;Gosens;D;6;;1533
Titolare;Calhanoglu;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1507
Titolare;Nainggolan;C;6;;343
Titolare;Pulgar;C;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;931
Titolare;Zielinski;C;6.5;;486
Titolare;Pinamonti;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_4;1306
Titolare;Ilicic;A;6;;249
Titolare;Milik;A;6.5;;1296
Riserva;Strakosha;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;439
Riserva;Milinkovic S.;C;5;;760
Riserva;Orsolini;C;5.5;;1519
Titolare;Castagne;D;6;;1515
Riserva;Di Carmine;A;6;imgBonus size-s imgBonus_6;2067
Riserva;Defrel;A;;;801
Riserva;Manolas;D;6;;300
