Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Gollini;P;;;222
Titolare;De Ligt;D;6.5;imgBonus size-s imgBonus_6;2047
Titolare;Bonucci;D;6.5;imgBonus size-s imgBonus_6;31
Titolare;Acerbi;D;6;;40
Titolare;Ribery;C;6.5;;2106
Titolare;Douglas Costa;C;7;;1528
Titolare;Malinovskyi;C;6.5;;2078
Titolare;Fofana;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1233
Titolare;Barrow;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1705
Titolare;Zapata D.;A;5.5;;483
Titolare;Torregrossa;A;7;imgBonus size-s imgBonus_9;553
Titolare;Sportiello;P;6;imgBonus size-s imgBonus_10;435
Riserva;Lirola;D;6;;1295
Riserva;Di Lorenzo;D;5;;1822
Riserva;Caceres;D;;;118
Riserva;Barella;C;;;809
Riserva;Candreva;C;6.5;;33
Riserva;Muriel;A;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;341
