Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;325
Titolare;De Silvestri;D;;;163
Titolare;Bani;D;;;1513
Titolare;Ola Aina;D;5.5;;1859
Riserva;Calderoni;D;;;515
Riserva;Hernani;C;;;2050
Titolare;Ionita;C;6;imgBonus size-s imgBonus_9;252
Titolare;Rincon;C;6.5;;398
Titolare;Okaka;A;6;;348
Titolare;Caicedo;A;6;;1631
Titolare;Immobile;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1084
Riserva;Silvestri;P;6;imgBonus size-s imgBonus_2;1599
Riserva;Balotelli;A;;;1012
Riserva;Poli A.;C;;;380
Riserva;Sanabria;A;;;416
Riserva;Lulic;D;;;290
Titolare;Di Francesco;C;5.5;;1206
Titolare;Calabria;D;6.5;;668
