Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Colombi;P;;;694
Titolare;Kjaer;D;6;;2121
Titolare;Milenkovic;D;7;;1552
Titolare;Dalbert;D;6;;1632
Titolare;Chiesa;C;6;;1128
Titolare;Luis Alberto;C;7;imgBonus size-s imgBonus_9;1367
Riserva;Pereiro;C;;;2181
Titolare;Falco;C;6.5;imgBonus size-s imgBonus_9;989
Titolare;Petagna;A;6;;1193
Titolare;Rebic;A;5.5;;625
Titolare;Ibrahimovic;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2152
Riserva;Radu A.;P;;;1158
Riserva;Pezzella Ge.;D;6.5;;1644
Riserva;Djimsiti;D;6;;1090
Riserva;Castillejo;C;;;1863
Titolare;Kessie;C;7;;1191
Riserva;Bennacer;C;6.5;imgBonus size-s imgBonus_6;1830
Riserva;Lasagna;A;;;612
