Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Terracciano;P;7.5;imgBonus size-s imgBonus_10;1821
Riserva;Murru;D;;;839
Titolare;Donati;D;5.5;;907
Titolare;Lucioni;D;6.5;;1565
Titolare;Lazovic;C;6.5;;669
Titolare;Mancosu;C;5;;573
Titolare;Zaccagni;C;6;;748
Titolare;Kulusevski;C;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;1739
Titolare;Ronaldo C.;A;5.5;;1775
Riserva;Dzeko;A;;;759
Titolare;Gabbiadini;A;7;imgBonus size-s imgBonus_1;208
Riserva;Dragowski;P;;;1263
Titolare;Lapadula;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1264
Riserva;La Gumina;A;;;712
Riserva;Jankto;C;6.5;imgBonus size-s imgBonus_6;257
Riserva;Berenguer;C;6;;1547
Titolare;De Vrij;D;6;;164
Riserva;Rrahmani;D;6;;2045
