Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Dragowski;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1263
Titolare;De Vrij;D;7;;164
Titolare;Izzo;D;5.5;;254
Titolare;Toljan;D;5.5;;2043
Titolare;Luis Alberto;C;6.5;imgBonus size-s imgBonus_9;1367
Titolare;Caprari;C;6;;1185
Titolare;Kulusevski;C;7;;1739
Riserva;Murgia;C;;;1120
Titolare;Dzeko;A;5;;759
Titolare;Gervinho;A;6;;719
Titolare;Lapadula;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1264
Riserva;Audero;P;6;imgBonus size-s imgBonus_10;525
Riserva;Leao;A;6;;2089
Titolare;Jankto;C;6.5;;257
Riserva;Hernani;C;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;2050
Riserva;Freuler;C;;;1091
Riserva;Murru;D;6;;839
Riserva;Fazio;D;5.5;;1302
