Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Handanovic;P;5.5;imgBonus size-s imgBonus_2;237
Titolare;Zapata C.;D;6.5;;613
Titolare;Ansaldi;D;6.5;imgBonus size-s imgBonus_6;1026
Titolare;Biraghi;D;6;;95
Titolare;Gomez A.;C;5.5;imgBonus size-s imgBonus_6;224
Titolare;Zaniolo;C;6;imgBonus size-s imgBonus_6;1827
Titolare;Boga;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1840
Riserva;Khedira;C;;;491
Titolare;Correa J.;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;148
Titolare;Piatek;A;5.5;;1807
Titolare;Dybala;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;185
Riserva;Skorupski;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;429
Riserva;Magnani;D;5;imgBonus size-s imgBonus_6;1846
Riserva;Vicari;D;;;1538
Riserva;Bruno Alves;D;;;1187
Titolare;Verre;C;7;imgBonus size-s imgBonus_3;540
Riserva;Kucka;C;7;;271
Riserva;Mertens;A;5;;326
