Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sirigu;P;6.5;imgBonus size-s imgBonus_10;1522
Titolare;Pellegrini Lu.;D;6;;1725
Riserva;Lyanco;D;;;1526
Titolare;Larsen;D;6;;1653
Titolare;Locatelli;C;6;;1123
Titolare;Kurtic;C;6;;272
Titolare;De Paul;C;6.5;;1274
Titolare;Skov Olsen;C;5;;2084
Titolare;Pinamonti;A;5.5;;1306
Titolare;Martinez L.;A;5;imgBonus size-s imgBonus_6;1747
Titolare;Lasagna;A;6.5;;612
Riserva;Ujkani;P;;;458
Titolare;Nkoulou;D;6.5;;1633
Riserva;Romero C.;D;6.5;;1890
Riserva;Faraoni;D;6;;536
Riserva;Traore;C;6;;1831
Riserva;Saponara;C;;;418
Riserva;Meite;C;6;imgBonus size-s imgBonus_6;1774
