Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Musso;P;8;imgBonus size-s imgBonus_5|imgBonus size-s imgBonus_10;1794
Titolare;Lazaro;D;6.5;imgBonus size-s imgBonus_9;2019
Titolare;Milenkovic;D;5;;1552
Titolare;Pezzella Ge.;D;5;;1644
Titolare;Alex Sandro;D;6;;993
Titolare;Mancosu;C;6;imgBonus size-s imgBonus_6;573
Titolare;Chiesa;C;5;;1128
Titolare;Ken Sema;C;6;;2110
Titolare;Insigne L.;A;5.5;;251
Titolare;Berardi D.;A;5.5;;84
Titolare;Ronaldo C.;A;5.5;;1775
Riserva;Pau Lopez;P;7;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2035
Riserva;Brozovic;C;6;imgBonus size-s imgBonus_6;113
Riserva;Koulibaly;D;7;;269
Riserva;Colley;D;6;;1745
Riserva;Spalek;C;5;;1997
Riserva;Bisoli;C;5.5;;1993
Riserva;Moncini;A;;;817
