Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Strakosha;P;7.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_5;439
Titolare;Kolarov;D;5.5;;1600
Titolare;Romagnoli A.;D;5;;404
Titolare;Castagne;D;6;imgBonus size-s imgBonus_6;1515
Titolare;Orsolini;C;7;imgBonus size-s imgBonus_1;1519
Titolare;Milinkovic S.;C;6.5;imgBonus size-s imgBonus_1;760
Titolare;Pulgar;C;5;imgBonus size-s imgBonus_6;931
Titolare;Zielinski;C;6;;486
Titolare;Nainggolan;C;8.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;343
Riserva;Milik;A;;;1296
Titolare;Lozano;A;5;;2108
Riserva;Donnarumma G.;P;6;imgBonus size-s imgBonus_2;181
Riserva;Pandev;C;6;;675
Riserva;Verdi;C;5.5;;466
Riserva;Calhanoglu;C;6;imgBonus size-s imgBonus_6;1507
Riserva;Gosens;D;;;1533
Riserva;Spinazzola;D;6;;957
Titolare;Defrel;A;6;;801
