Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Szczesny;P;7;imgBonus size-s imgBonus_10;720
Titolare;Lazzari;D;6.5;;1542
Titolare;Skriniar;D;6;;1099
Titolare;Mancini G.;D;5.5;;1549
Titolare;Ruiz;C;5;;1779
Titolare;Pjanic;C;6;;378
Titolare;Lucas Leiva;C;6;imgBonus size-s imgBonus_6;1602
Titolare;Nandez;C;6.5;imgBonus size-s imgBonus_6;2098
Titolare;Caputo;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;1832
Titolare;Lukaku R.;A;6;;2099
Titolare;Petagna;A;5;imgBonus size-s imgBonus_4;1193
Riserva;Buffon;P;;;30
Riserva;Hateboer;D;5.5;;1451
Riserva;Hernandez;D;6;imgBonus size-s imgBonus_6;2017
Riserva;Ramsey;C;;;2028
Riserva;Badelj;C;4.5;;67
Riserva;Boateng;A;;;1078
Riserva;Higuain;A;7;imgBonus size-s imgBonus_9;242
