Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Gollini;P;6.5;imgBonus size-s imgBonus_10;222
Titolare;Di Lorenzo;D;6.5;;1822
Titolare;Acerbi;D;6.5;imgBonus size-s imgBonus_9;40
Titolare;Bonucci;D;6;;31
Titolare;Douglas Costa;C;6.5;;1528
Titolare;Tonali;C;5;imgBonus size-s imgBonus_6;1996
Titolare;Veretout;C;6;;1607
Titolare;Malinovskyi;C;5;imgBonus size-s imgBonus_7;2078
Riserva;Zapata D.;A;;;483
Titolare;Belotti;A;7.5;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;79
Titolare;Muriel;A;6;;341
Riserva;Sportiello;P;;;435
Titolare;Schone;C;5;imgBonus size-s imgBonus_6;2095
Riserva;Barella;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;809
Riserva;De Ligt;D;6.5;;2047
Riserva;Jajalo;C;7;;255
Riserva;Depaoli;D;6;imgBonus size-s imgBonus_6;1102
Riserva;Lirola;D;5.5;;1295
