Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Dragowski;P;7;imgBonus size-s imgBonus_2;1263
Titolare;Toljan;D;6;;2043
Titolare;Rrahmani;D;6.5;;2045
Titolare;Lucioni;D;6;;1565
Titolare;Lazovic;C;6.5;imgBonus size-s imgBonus_6;669
Titolare;Borini;C;6;;1008
Titolare;Zaccagni;C;5;;748
Titolare;Berenguer;C;5;;1547
Riserva;Ronaldo C.;A;;;1775
Titolare;Cornelius;A;6.5;imgBonus size-s imgBonus_9;1510
Titolare;Lapadula;A;5.5;imgBonus size-s imgBonus_6;1264
Riserva;Terracciano;P;;;1821
Titolare;Dzeko;A;6.5;imgBonus size-s imgBonus_1;759
Riserva;Gabbiadini;A;5.5;imgBonus size-s imgBonus_1;208
Riserva;Jankto;C;5.5;;257
Riserva;Mancosu;C;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_9;573
Riserva;Bisoli;C;5.5;;1993
Riserva;De Vrij;D;5;imgBonus size-s imgBonus_6;164
