Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Skorupski;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;429
Titolare;Bruno Alves;D;6.5;;1187
Titolare;Bruno Peres;D;5;;114
Titolare;Ansaldi;D;5;imgBonus size-s imgBonus_6;1026
Titolare;Gomez A.;C;6.5;;224
Titolare;Barak;C;6.5;;1622
Titolare;Boga;C;6;;1840
Titolare;Castrovilli;C;6.5;;1460
Titolare;Pellegrini Lo.;C;5;;364
Titolare;Mertens;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;326
Titolare;Dybala;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;185
Riserva;Padelli;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;350
Riserva;Correa J.;A;6;;148
Riserva;Cutrone;A;;;1390
Riserva;Bentancur;C;6.5;imgBonus size-s imgBonus_6;1518
Riserva;Young;D;7;imgBonus size-s imgBonus_1;2160
Riserva;Smalling;D;6.5;;2119
Riserva;Castro;C;5.5;;528
