Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Cragno;P;6;imgBonus size-s imgBonus_2;849
Titolare;Faraoni;D;6;;536
Titolare;Kumbulla;D;6;;1671
Titolare;Larsen;D;5.5;;1653
Titolare;De Paul;C;6;;1274
Titolare;Veloso;C;5.5;imgBonus size-s imgBonus_6;1299
Titolare;Pessina;C;6;;1508
Titolare;Kurtic;C;6;;272
Titolare;Berardi D.;A;5;imgBonus size-s imgBonus_6;84
Titolare;Martinez L.;A;5;;1747
Titolare;Quagliarella;A;5.5;;386
Riserva;Sirigu;P;6.5;imgBonus size-s imgBonus_2;1522
Riserva;Tomiyasu;D;5.5;;2037
Riserva;Iacoponi;D;6.5;;1753
Riserva;Locatelli;C;6.5;imgBonus size-s imgBonus_6;1123
Riserva;Verre;C;5.5;;540
Riserva;Cigarini;C;5.5;;143
Riserva;Simeone;A;5.5;;1343
