Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Silvestri;P;6.5;imgBonus size-s imgBonus_10;1599
Titolare;Bani;D;5.5;;1513
Titolare;Calabria;D;6;;668
Titolare;Pellegrini Lu.;D;6;;1725
Titolare;Troost-Ekong;D;6.5;imgBonus size-s imgBonus_6;1873
Riserva;Under;C;;;1555
Titolare;Di Francesco;C;6.5;imgBonus size-s imgBonus_6;1206
Titolare;Poli A.;C;5;;380
Titolare;Sanabria;A;7;imgBonus size-s imgBonus_1;416
Titolare;Immobile;A;7.5;imgBonus size-s imgBonus_3;1084
Titolare;Caicedo;A;5.5;;1631
Riserva;Ospina;P;6;imgBonus size-s imgBonus_10;1869
Riserva;Balotelli;A;5;;1012
Titolare;Callejon;C;5.5;;121
Riserva;De Silvestri;D;5.5;;163
Riserva;Caprari;C;;;1185
Riserva;Ola Aina;D;;;1859
Riserva;Okaka;A;6;;348
