Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Gollini;P;5.5;imgBonus size-s imgBonus_2;222
Titolare;Lirola;D;7;imgBonus size-s imgBonus_9;1295
Titolare;Caceres;D;6;;118
Titolare;Bonucci;D;6;imgBonus size-s imgBonus_6;31
Titolare;Fofana;C;6.5;;1233
Riserva;Saponara;C;;;418
Titolare;Barella;C;6;;809
Riserva;Malinovskyi;C;;;2078
Titolare;Zapata D.;A;5.5;;483
Riserva;Muriel;A;;;341
Titolare;Barrow;A;5.5;;1705
Riserva;Sportiello;P;;;435
Riserva;De Ligt;D;;;2047
Riserva;Moses;C;;;2163
Titolare;Belotti;A;6;;79
Titolare;Perez C.;C;5;imgBonus size-s imgBonus_6;2175
Riserva;Di Lorenzo;D;6;;1822
Titolare;Candreva;C;6.5;;33
