Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Silvestri;P;7;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1599
Titolare;Bani;D;6.5;;1513
Riserva;Calabria;D;;;668
Titolare;Pellegrini Lu.;D;6.5;;1725
Titolare;Troost-Ekong;D;5.5;;1873
Riserva;Under;C;;;1555
Riserva;Di Francesco;C;;;1206
Titolare;Poli A.;C;6;;380
Titolare;Sanabria;A;5.5;;416
Titolare;Immobile;A;6;imgBonus size-s imgBonus_3;1084
Titolare;Caicedo;A;6;;1631
Riserva;Ospina;P;;;1869
Riserva;Balotelli;A;;;1012
Titolare;Callejon;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;121
Titolare;De Silvestri;D;5;;163
Riserva;Caprari;C;;;1185
Titolare;Ola Aina;D;5.5;imgBonus size-s imgBonus_9;1859
Riserva;Okaka;A;6.5;;348
