Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Colombi;P;;;694
Titolare;Kjaer;D;6.5;;2121
Titolare;Milenkovic;D;6;imgBonus size-s imgBonus_6;1552
Titolare;Dalbert;D;6;imgBonus size-s imgBonus_6;1632
Riserva;Chiesa;C;;;1128
Titolare;Luis Alberto;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1367
Riserva;Pereiro;C;;;2181
Titolare;Falco;C;5.5;;989
Titolare;Petagna;A;6.5;imgBonus size-s imgBonus_1;1193
Titolare;Rebic;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;625
Riserva;Ibrahimovic;A;;;2152
Riserva;Radu A.;P;;;1158
Riserva;Pezzella Ge.;D;6;;1644
Riserva;Djimsiti;D;5.5;;1090
Titolare;Castillejo;C;5.5;imgBonus size-s imgBonus_6;1863
Titolare;Kessie;C;7;;1191
Riserva;Bennacer;C;6.5;;1830
Titolare;Lasagna;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;612
