Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Dragowski;P;6.5;imgBonus size-s imgBonus_10;1263
Titolare;De Vrij;D;6;;164
Titolare;Rrahmani;D;6.5;imgBonus size-s imgBonus_9;2045
Riserva;Izzo;D;;;254
Titolare;Lazovic;C;6.5;imgBonus size-s imgBonus_1;669
Riserva;Berenguer;C;;;1547
Titolare;Kulusevski;C;5.5;;1739
Riserva;Zaccagni;C;;;748
Titolare;Ronaldo C.;A;6.5;imgBonus size-s imgBonus_1;1775
Titolare;Dzeko;A;6;;759
Titolare;Cornelius;A;6.5;;1510
Riserva;Terracciano;P;;;1821
Titolare;Murru;D;5.5;;839
Titolare;Lucioni;D;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1565
Riserva;Borini;C;;;1008
Titolare;Mancosu;C;5.5;imgBonus size-s imgBonus_4;573
Riserva;Gabbiadini;A;6;;208
Riserva;Babacar;A;6.5;imgBonus size-s imgBonus_1;66
