Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6;imgBonus size-s imgBonus_2;325
Titolare;De Silvestri;D;5.5;;163
Titolare;Bani;D;6;;1513
Titolare;Ola Aina;D;6;;1859
Titolare;Calderoni;D;6.5;;515
Titolare;Hernani;C;6;;2050
Titolare;Ionita;C;6;;252
Titolare;Rincon;C;6;;398
Titolare;Okaka;A;6.5;imgBonus size-s imgBonus_1;348
Titolare;Caicedo;A;5.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1631
Titolare;Immobile;A;5;imgBonus size-s imgBonus_6;1084
Riserva;Silvestri;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1599
Riserva;Balotelli;A;;;1012
Riserva;Poli A.;C;;;380
Riserva;Sanabria;A;5.5;;416
Riserva;Lulic;D;;;290
Riserva;Di Francesco;C;;;1206
Riserva;Calabria;D;;;668
