Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Colombi;P;;;694
Titolare;Kjaer;D;5.5;;2121
Titolare;Milenkovic;D;6;;1552
Titolare;Dalbert;D;6;;1632
Titolare;Chiesa;C;5.5;imgBonus size-s imgBonus_6;1128
Titolare;Luis Alberto;C;5;;1367
Riserva;Pereiro;C;;;2181
Titolare;Falco;C;6.5;imgBonus size-s imgBonus_9;989
Titolare;Petagna;A;5;;1193
Titolare;Rebic;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;625
Titolare;Ibrahimovic;A;6.5;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_9;2152
Riserva;Radu A.;P;;;1158
Riserva;Pezzella Ge.;D;;;1644
Riserva;Djimsiti;D;6;imgBonus size-s imgBonus_6;1090
Riserva;Castillejo;C;;;1863
Titolare;Kessie;C;7;imgBonus size-s imgBonus_1;1191
Riserva;Bennacer;C;7;imgBonus size-s imgBonus_6;1830
Riserva;Lasagna;A;6.5;imgBonus size-s imgBonus_1;612
