Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Cragno;P;;;849
Titolare;Faraoni;D;6;imgBonus size-s imgBonus_6;536
Titolare;Larsen;D;6;;1653
Titolare;Bastoni;D;5;imgBonus size-s imgBonus_6;1389
Titolare;Politano;C;6.5;imgBonus size-s imgBonus_9;510
Titolare;De Paul;C;6;imgBonus size-s imgBonus_6;1274
Titolare;Verre;C;5;;540
Titolare;Kurtic;C;6.5;;272
Titolare;Veloso;C;6;;1299
Titolare;Simeone;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1343
Titolare;Martinez L.;A;5.5;;1747
Titolare;Sirigu;P;6.5;imgBonus size-s imgBonus_10;1522
Riserva;Iacoponi;D;6;imgBonus size-s imgBonus_6;1753
Riserva;Darmian;D;6;;154
Riserva;Kumbulla;D;6;;1671
Riserva;Scozzarella;C;;;1763
Riserva;Berardi D.;A;7;imgBonus size-s imgBonus_3;84
Riserva;Sanchez;A;6;imgBonus size-s imgBonus_9;2109
