Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Musso;P;5.5;imgBonus size-s imgBonus_2;1794
Titolare;Pezzella Ge.;D;6.5;imgBonus size-s imgBonus_1;1644
Titolare;Milenkovic;D;6;;1552
Titolare;Toloi;D;6;imgBonus size-s imgBonus_6;1013
Titolare;Chiesa;C;5.5;imgBonus size-s imgBonus_6;1128
Titolare;Freuler;C;7;;1091
Titolare;De Roon;C;5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_8|imgBonus size-s imgBonus_9;670
Titolare;Ken Sema;C;6.5;;2110
Titolare;Petagna;A;5;;1193
Titolare;Lasagna;A;5.5;;612
Riserva;Palomino;D;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1531
Riserva;Pasalic;C;;;1357
