Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ospina;P;6.5;imgBonus size-s imgBonus_10;1869
Titolare;De Silvestri;D;5.5;;163
Titolare;Lulic;D;;;290
Titolare;Romulo;D;5.5;;405
Titolare;Benassi;C;;;81
Riserva;Kluivert;C;;;1791
Titolare;Under;C;6;;1555
Riserva;Callejon;C;;;121
Riserva;Di Francesco;C;;;1206
Titolare;Immobile;A;5;;1084
Titolare;Donnarumma Alf.;A;6.5;imgBonus size-s imgBonus_3;1995
Riserva;Karnezis;P;;;263
Titolare;Caicedo;A;5;;1631
Titolare;Ionita;C;5.5;imgBonus size-s imgBonus_6;252
Riserva;Poli A.;C;;;380
Titolare;Hernani;C;6.5;;2050
Riserva;Troost-Ekong;D;;;1873
