Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Szczesny;P;6;imgBonus size-s imgBonus_10;720
Titolare;Skriniar;D;5.5;imgBonus size-s imgBonus_7;1099
Titolare;Hernandez;D;6.5;;2017
Titolare;Lazzari;D;6;;1542
Titolare;Eriksen;C;5.5;;2172
Titolare;Ruiz;C;6;;1779
Titolare;Nandez;C;6;imgBonus size-s imgBonus_6;2098
Titolare;Cuadrado;C;6.5;;952
Titolare;Insigne L.;A;6.5;;251
Titolare;Lukaku R.;A;6.5;imgBonus size-s imgBonus_3;2099
Titolare;Caputo;A;7;imgBonus size-s imgBonus_1;1832
Riserva;Buffon;P;;;30
Riserva;Hateboer;D;7;imgBonus size-s imgBonus_9;1451
Riserva;Pisacane;D;6;;1222
Riserva;Djuricic;C;6.5;imgBonus size-s imgBonus_9;1279
Riserva;Rog;C;6;imgBonus size-s imgBonus_6;1332
Riserva;Pjanic;C;6;;378
Riserva;Zaza;A;5;;485
