Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Dragowski;P;;;1263
Titolare;De Vrij;D;5.5;;164
Titolare;Rrahmani;D;5;;2045
Riserva;Murru;D;;;839
Titolare;Mancosu;C;7;imgBonus size-s imgBonus_3;573
Titolare;Kulusevski;C;6;imgBonus size-s imgBonus_6;1739
Titolare;Zaccagni;C;6;;748
Titolare;Lazovic;C;5.5;;669
Titolare;Ronaldo C.;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;1775
Titolare;Cornelius;A;6;;1510
Titolare;Gabbiadini;A;6.5;imgBonus size-s imgBonus_1;208
Titolare;Terracciano;P;6.5;imgBonus size-s imgBonus_2;1821
Titolare;Donati;D;5;;907
Riserva;Lucioni;D;6.5;imgBonus size-s imgBonus_1;1565
Riserva;Jankto;C;6.5;;257
Riserva;Bonaventura;C;7;imgBonus size-s imgBonus_9;101
Riserva;Dzeko;A;6;;759
Riserva;La Gumina;A;6;;712
