Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;5.5;imgBonus size-s imgBonus_2;325
Titolare;De Silvestri;D;6;;163
Titolare;Ola Aina;D;5.5;imgBonus size-s imgBonus_6;1859
Titolare;Calderoni;D;6;imgBonus size-s imgBonus_9;515
Titolare;Troost-Ekong;D;6;;1873
Titolare;Callejon;C;6.5;imgBonus size-s imgBonus_1;121
Riserva;Hernani;C;;;2050
Riserva;Rincon;C;;;398
Riserva;Immobile;A;;;1084
Titolare;Okaka;A;6;;348
Titolare;Donnarumma Alf.;A;6.5;imgBonus size-s imgBonus_1;1995
Riserva;Silvestri;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1599
Riserva;Bani;D;6;;1513
Riserva;Ghiglione;D;;;745
Riserva;Poli A.;C;;;380
Titolare;Ionita;C;6.5;;252
Titolare;Benassi;C;5.5;;81
Titolare;Sanabria;A;5;;416
