Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sirigu;P;6.5;imgBonus size-s imgBonus_2;1522
Titolare;Faraoni;D;5.5;imgBonus size-s imgBonus_9;536
Titolare;Romero C.;D;6;;1890
Titolare;Nkoulou;D;6.5;;1633
Titolare;Pellegrini Lu.;D;5.5;imgBonus size-s imgBonus_6;1725
Riserva;Verre;C;;;540
Titolare;Locatelli;C;6;;1123
Titolare;Kurtic;C;6.5;imgBonus size-s imgBonus_6;272
Titolare;Quagliarella;A;5.5;imgBonus size-s imgBonus_4;386
Titolare;Martinez L.;A;5;;1747
Titolare;Pinamonti;A;5;;1306
Riserva;Rafael D.A.;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;392
Riserva;Godin;D;6.5;imgBonus size-s imgBonus_6;2014
Riserva;Bremer;D;6.5;;1773
Titolare;Skov Olsen;C;5;;2084
Riserva;Traore;C;6;;1831
Riserva;De Paul;C;6;imgBonus size-s imgBonus_6;1274
Riserva;Destro;A;;;169
