Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6;imgBonus size-s imgBonus_2;325
Titolare;Calderoni;D;6;;515
Riserva;De Silvestri;D;;;163
Titolare;Romulo;D;5.5;;405
Titolare;Lulic;D;6.5;;290
Titolare;Bernardeschi;C;6;;86
Titolare;Rincon;C;6;imgBonus size-s imgBonus_6;398
Titolare;Callejon;C;5.5;imgBonus size-s imgBonus_6;121
Titolare;Babacar;A;5;;66
Titolare;Immobile;A;5.5;imgBonus size-s imgBonus_4;1084
Titolare;Donnarumma Alf.;A;5;;1995
Riserva;Ospina;P;;;1869
Riserva;Balotelli;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1012
Riserva;Nestorovski;A;;;1202
Riserva;Poli A.;C;6;;380
Titolare;Troost-Ekong;D;6.5;;1873
Riserva;Caicedo;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1631
Riserva;Ghiglione;D;5;;745
