Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sepe;P;7.5;imgBonus size-s imgBonus_5|imgBonus size-s imgBonus_10;424
Titolare;De Vrij;D;6.5;;164
Titolare;Izzo;D;6.5;imgBonus size-s imgBonus_6;254
Titolare;Toljan;D;6.5;imgBonus size-s imgBonus_9;2043
Titolare;Suso;C;6.5;imgBonus size-s imgBonus_9;443
Titolare;Luis Alberto;C;7;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;1367
Titolare;Berenguer;C;6;;1547
Titolare;Kulusevski;C;5;;1739
Riserva;Leao;A;;;2089
Titolare;Dzeko;A;6;;759
Titolare;Gervinho;A;6;;719
Riserva;Audero;P;6;imgBonus size-s imgBonus_2;525
Titolare;Jankto;C;5;;257
Riserva;Caprari;C;;;1185
Riserva;Hernani;C;6.5;imgBonus size-s imgBonus_9;2050
Riserva;Bisoli;C;6;;1993
Riserva;Murru;D;5;;839
Riserva;Marlon;D;6.5;;1872
