Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Strakosha;P;6;imgBonus size-s imgBonus_2;439
Titolare;Kolarov;D;5.5;imgBonus size-s imgBonus_6;1600
Titolare;Romagnoli A.;D;6;;404
Titolare;Gosens;D;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;1533
Titolare;Orsolini;C;7;imgBonus size-s imgBonus_1;1519
Titolare;Milinkovic S.;C;5;;760
Titolare;Pulgar;C;5;imgBonus size-s imgBonus_6;931
Titolare;Pandev;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;675
Titolare;Nainggolan;C;4.5;;343
Titolare;Ilicic;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;249
Titolare;Milik;A;6;imgBonus size-s imgBonus_1;1296
Riserva;Donnarumma G.;P;7.5;imgBonus size-s imgBonus_10;181
Riserva;Pazzini;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;362
Riserva;Criscito;D;7.5;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_6;1804
Riserva;Manolas;D;5;;300
Riserva;Calhanoglu;C;6;;1507
Riserva;Perotti;C;6;;371
Riserva;Zielinski;C;6.5;;486
