Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Gollini;P;7;imgBonus size-s imgBonus_10;222
Titolare;Lirola;D;5.5;;1295
Titolare;Acerbi;D;5;;40
Titolare;Bonucci;D;4.5;imgBonus size-s imgBonus_6;31
Titolare;Lobotka;C;6;;2158
Riserva;Perez C.;C;;;2175
Titolare;Douglas Costa;C;5.5;;1528
Titolare;Fofana;C;6.5;imgBonus size-s imgBonus_9;1233
Titolare;Barrow;A;5.5;imgBonus size-s imgBonus_1;1705
Titolare;Belotti;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;79
Titolare;Zapata D.;A;5;;483
Riserva;Sportiello;P;;;435
Titolare;Tonali;C;5;imgBonus size-s imgBonus_6;1996
Riserva;Caceres;D;6.5;;118
Riserva;Di Lorenzo;D;;;1822
Riserva;Candreva;C;7;imgBonus size-s imgBonus_1;33
Riserva;Igor;D;;;2005
Riserva;Muriel;A;7.5;imgBonus size-s imgBonus_1;341
