Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Musso;P;6;imgBonus size-s imgBonus_10;1794
Titolare;Pezzella Ge.;D;6.5;imgBonus size-s imgBonus_6;1644
Titolare;Milenkovic;D;6.5;imgBonus size-s imgBonus_6;1552
Titolare;Toloi;D;6.5;imgBonus size-s imgBonus_6;1013
Titolare;Chiesa;C;6.5;imgBonus size-s imgBonus_4|imgBonus size-s imgBonus_9;1128
Titolare;Spalek;C;6;;1997
Titolare;Mancosu;C;6.5;;573
Titolare;Bisoli;C;6;;1993
Titolare;Moncini;A;5.5;;817
Titolare;Ronaldo C.;A;7;imgBonus size-s imgBonus_1;1775
Titolare;Berardi D.;A;5;imgBonus size-s imgBonus_6;84
Riserva;Pau Lopez;P;6;imgBonus size-s imgBonus_10;2035
Riserva;Palomino;D;;;1531
Riserva;Colley;D;5.5;;1745
Riserva;Brozovic;C;7;;113
Riserva;Ken Sema;C;6;;2110
Riserva;Iago Falque;A;;;246
Riserva;Insigne L.;A;;;251
