Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Handanovic;P;6;imgBonus size-s imgBonus_2;237
Titolare;Bruno Alves;D;6;;1187
Titolare;Denswil;D;5.5;;2016
Titolare;Ansaldi;D;6.5;imgBonus size-s imgBonus_1;1026
Titolare;Gomez A.;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;224
Titolare;Zaniolo;C;5.5;;1827
Titolare;Castro;C;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;528
Titolare;Khedira;C;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;491
Titolare;Piatek;A;5;;1807
Titolare;Dybala;A;7;imgBonus size-s imgBonus_9;185
Titolare;Mertens;A;6.5;imgBonus size-s imgBonus_1;326
Riserva;Skorupski;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_6;429
Riserva;Biraghi;D;;;95
Riserva;Zapata C.;D;;;613
Riserva;Vicari;D;6;;1538
Riserva;Verre;C;5;;540
Riserva;Soriano;C;5;imgBonus size-s imgBonus_7;433
Riserva;Correa J.;A;5.5;;148
