Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Buffon;P;6;imgBonus size-s imgBonus_10;30
Riserva;Lazzari;D;;;1542
Titolare;Skriniar;D;5.5;imgBonus size-s imgBonus_6;1099
Titolare;Ferrari G.;D;5.5;imgBonus size-s imgBonus_6;1168
Titolare;Hateboer;D;7;imgBonus size-s imgBonus_9;1451
Titolare;Ruiz;C;6;;1779
Titolare;Ramsey;C;6.5;;2028
Titolare;Nandez;C;6.5;;2098
Titolare;Lukaku R.;A;6;;2099
Titolare;Petagna;A;5.5;imgBonus size-s imgBonus_6;1193
Riserva;Caputo;A;;;1832
Riserva;Szczesny;P;;;720
Titolare;Ghoulam;D;5.5;;218
Riserva;Hernandez;D;5.5;;2017
Riserva;Pjanic;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;378
Riserva;Rog;C;6;;1332
Titolare;Joao Pedro;A;6;;836
Riserva;Higuain;A;;;242
