Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Perin;P;6.5;imgBonus size-s imgBonus_10;369
Titolare;Pezzella Ge.;D;5;;1644
Titolare;Yoshida;D;6.5;;2182
Riserva;Toljan;D;;;2043
Titolare;Soriano;C;6;imgBonus size-s imgBonus_6;433
Riserva;Jankto;C;;imgBonus size-s imgBonus_6;257
Titolare;Zaccagni;C;5;;748
Titolare;Ricci M.;C;6;;2258
Titolare;Ronaldo C.;A;6.5;;1775
Titolare;Lasagna;A;5.5;;612
Titolare;Galabinov;A;5;;1605
Riserva;Cordaz;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1166
Riserva;Caprari;A;5;;1185
Riserva;Kalinic;A;5;;983
Titolare;Viola;C;6;;1573
Riserva;Thorsby;C;5.5;imgBonus size-s imgBonus_6;2036
Titolare;Gagliolo;D;5;imgBonus size-s imgBonus_6;594
Riserva;Iacoponi;D;;;1753
