Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Szczesny;P;6;imgBonus size-s imgBonus_10;720
Titolare;Bonucci;D;6.5;;31
Titolare;Larsen;D;6.5;;1653
Titolare;Ferrari G.;D;6;imgBonus size-s imgBonus_6;1168
Titolare;Malinovskyi;C;5.5;;2078
Titolare;Veretout;C;5.5;;1607
Titolare;Traore H.;C;7;;1831
Titolare;Kucka;C;5.5;;271
Titolare;Immobile;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1084
Titolare;Caputo;A;6.5;imgBonus size-s imgBonus_1;1832
Titolare;Barrow;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1705
Riserva;Buffon;P;;;30
Riserva;Mario Rui;D;5;imgBonus size-s imgBonus_6;306
Riserva;Young;D;;;2160
Riserva;Rodriguez R.;D;;;1504
Riserva;Arthur;C;6.5;imgBonus size-s imgBonus_6;2236
Riserva;Ekdal;C;;;812
Riserva;Palacio;A;;;35
