Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ospina;P;6;imgBonus size-s imgBonus_10;1869
Titolare;Zappacosta;D;6.5;imgBonus size-s imgBonus_9;484
Titolare;Spinazzola;D;5.5;;957
Titolare;Danilo Luiz;D;5.5;;2096
Titolare;Rogerio;D;5.5;;1110
Titolare;Pasalic;C;6;;1357
Titolare;Demme;C;6.5;;2156
Titolare;Nandez;C;5;;2098
Titolare;Ribery;A;7;imgBonus size-s imgBonus_1;2106
Titolare;Morata;A;4.5;;336
Riserva;Muriel;A;;;341
Riserva;Meret;P;;;325
Riserva;Lazzari;D;5.5;;1542
Riserva;Pezzella Gi.;D;5.5;imgBonus size-s imgBonus_6;706
Riserva;Castrovilli;C;6.5;;1460
Riserva;McKennie;C;5.5;;2297
Titolare;Dzeko;A;5;;759
Riserva;Scamacca;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1454
