Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Handanovic;P;6;imgBonus size-s imgBonus_10;237
Riserva;De Vrij;D;;;164
Titolare;Milenkovic;D;5.5;;1552
Titolare;Faraoni;D;5.5;;536
Titolare;Bremer;D;6.5;;1773
Titolare;Lazovic;C;6;imgBonus size-s imgBonus_6;669
Titolare;De Paul;C;5;;1274
Titolare;Freuler;C;6;;1091
Titolare;Caicedo;A;6.5;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;1631
Titolare;Joao Pedro;A;6;;836
Titolare;Ibrahimovic;A;5.5;;2152
Riserva;Sepe;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;424
Riserva;Muriqi;A;;;2333
Riserva;Farias;A;6.5;;834
Riserva;De Roon;C;6;;670
Riserva;Maggiore;C;6;;2260
Titolare;Criscito;D;6;;1804
Riserva;Bani;D;5.5;imgBonus size-s imgBonus_6;1513
