Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Pau Lopez;P;7;imgBonus size-s imgBonus_2;2035
Titolare;Mancini G.;D;5;;1549
Titolare;Ibanez;D;5;imgBonus size-s imgBonus_7;1923
Titolare;De Ligt;D;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;2047
Titolare;Bakayoko;C;7;;1862
Titolare;Bentancur;C;5.5;;1518
Riserva;Pobega;C;;;2291
Titolare;Dybala;A;6.5;;185
Titolare;Boga;A;6;;1840
Titolare;Quagliarella;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;386
Titolare;Osimhen;A;6.5;imgBonus size-s imgBonus_1;2290
Riserva;Mirante;P;;;555
Riserva;Ansaldi;D;5.5;;1026
Riserva;Zappa;D;;;2325
Riserva;Dijks;D;6;;1798
Titolare;Mandragora;C;7;imgBonus size-s imgBonus_1;299
Riserva;Strootman;C;6.5;imgBonus size-s imgBonus_6;441
Riserva;Lapadula;A;7;imgBonus size-s imgBonus_1;1264
