Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;6.5;imgBonus size-s imgBonus_2;181
Titolare;Biraghi;D;4.5;imgBonus size-s imgBonus_6;95
Titolare;Di Lorenzo;D;5;;1822
Titolare;Gosens;D;6;imgBonus size-s imgBonus_6;1533
Titolare;Pulgar;C;5.5;;931
Titolare;Barak;C;6;;1622
Titolare;Calhanoglu;C;6.5;;1507
Titolare;Ilicic;A;5.5;;249
Titolare;Correa;A;6.5;imgBonus size-s imgBonus_1;148
Titolare;Vlahovic;A;5.5;;1816
Titolare;Insigne L.;A;5.5;;251
Riserva;Consigli;P;6.5;imgBonus size-s imgBonus_10;147
Riserva;Romagnoli A.;D;5.5;;404
Riserva;Mbaye;D;;;565
Riserva;Cigarini;C;;;143
Riserva;Pandev;A;5;;675
Riserva;Iago Falque;A;;;246
Riserva;Eriksen;C;;;2172
