Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Consigli;P;6;imgBonus size-s imgBonus_2;147
Titolare;Di Lorenzo;D;6.5;imgBonus size-s imgBonus_9;1822
Titolare;Gosens;D;6.5;;1533
Titolare;Biraghi;D;6.5;imgBonus size-s imgBonus_9;95
Titolare;Milinkovic S.;C;5.5;;760
Titolare;Barak;C;6.5;imgBonus size-s imgBonus_9;1622
Titolare;Calhanoglu;C;7;imgBonus size-s imgBonus_9;1507
Titolare;Nainggolan;C;6;;343
Titolare;Ilicic;A;6.5;imgBonus size-s imgBonus_9;249
Titolare;Insigne L.;A;6.5;imgBonus size-s imgBonus_9;251
Titolare;Vlahovic;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;1816
Riserva;Donnarumma G.;P;6;imgBonus size-s imgBonus_10;181
Riserva;Romagnoli A.;D;;;404
Riserva;Marusic;D;5.5;;1506
Riserva;Schouten;C;5.5;imgBonus size-s imgBonus_6;2020
Riserva;Pulgar;C;7;imgBonus size-s imgBonus_9;931
Riserva;Correa;A;5;;148
Riserva;Leao;A;;;2089
