Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Cragno;P;7;imgBonus size-s imgBonus_2;849
Titolare;Hakimi;D;7.5;imgBonus size-s imgBonus_9;2237
Titolare;Bastoni;D;6;;1389
Titolare;Godin;D;5.5;;2014
Titolare;Dimarco;D;7;imgBonus size-s imgBonus_1;599
Titolare;Locatelli;C;6;;1123
Titolare;Pellegrini Lo.;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;364
Titolare;Sanchez;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2109
Titolare;Berardi D.;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;84
Titolare;Martinez L.;A;7;imgBonus size-s imgBonus_3;1747
Titolare;Mayoral;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2357
Riserva;Pandur;P;6.5;imgBonus size-s imgBonus_2;2317
Riserva;Candreva;C;5.5;;33
Riserva;Karsdorp;D;6.5;imgBonus size-s imgBonus_9;1521
Riserva;Martinez Lu.;D;;;2368
Riserva;Chiellini;D;5;imgBonus size-s imgBonus_6;139
Riserva;Simeone;A;;;1343
Riserva;Gagliardini;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;733
