Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Handanovic;P;5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_8;237
Titolare;Bremer;D;6;;1773
Titolare;Milenkovic;D;5.5;imgBonus size-s imgBonus_6;1552
Titolare;Faraoni;D;6;imgBonus size-s imgBonus_6;536
Titolare;De Vrij;D;5.5;;164
Titolare;Freuler;C;6.5;;1091
Titolare;De Paul;C;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_7|imgBonus size-s imgBonus_15;1274
Titolare;Luis Alberto;C;6.5;;1367
Titolare;Lazovic;C;6.5;imgBonus size-s imgBonus_1;669
Titolare;Sanabria;A;6.5;imgBonus size-s imgBonus_1;416
Titolare;Joao Pedro;A;4.5;;836
Riserva;Sepe;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;424
Riserva;Farias;A;;;834
Riserva;Muriqi;A;6;;2333
Riserva;De Roon;C;6.5;;670
Riserva;Maggiore;C;5.5;;2260
Riserva;Djimsiti;D;6;imgBonus size-s imgBonus_6;1090
Riserva;Bani;D;5.5;;1513
