Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Donnarumma G.;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;181
Titolare;Di Lorenzo;D;6;imgBonus size-s imgBonus_6;1822
Titolare;Gosens;D;5.5;imgBonus size-s imgBonus_7|imgBonus size-s imgBonus_9;1533
Titolare;Biraghi;D;5.5;;95
Titolare;Milinkovic S.;C;6;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;760
Titolare;Barak;C;5.5;;1622
Titolare;Calhanoglu;C;7;imgBonus size-s imgBonus_1;1507
Titolare;Nainggolan;C;6.5;imgBonus size-s imgBonus_6;343
Titolare;Correa;A;5.5;;148
Titolare;Insigne L.;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;251
Titolare;Vlahovic;A;7;imgBonus size-s imgBonus_3;1816
Riserva;Consigli;P;6.5;imgBonus size-s imgBonus_2;147
Riserva;Marusic;D;5;;1506
Riserva;Erlic;D;;;1134
Riserva;Schouten;C;5.5;;2020
Riserva;Pulgar;C;6.5;;931
Riserva;Leao;A;5.5;;2089
Riserva;Ilicic;A;6;;249
