Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Handanovic;P;5;imgBonus size-s imgBonus_2;237
Titolare;Djimsiti;D;6.5;;1090
Titolare;Faraoni;D;6;imgBonus size-s imgBonus_9;536
Titolare;De Vrij;D;6.5;;164
Titolare;Bremer;D;6;;1773
Titolare;De Roon;C;6.5;;670
Titolare;Luis Alberto;C;5.5;;1367
Titolare;Lazovic;C;5.5;;669
Titolare;Freuler;C;7;;1091
Titolare;Joao Pedro;A;6.5;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;836
Riserva;Ibrahimovic;A;;;2152
Riserva;Sepe;P;;;424
Riserva;Caicedo;A;;;1631
Titolare;Sanabria;A;6;;416
Riserva;Maggiore;C;6;;2260
Riserva;Duncan;C;;;184
Riserva;Criscito;D;6;;1804
Riserva;Bani;D;6;;1513
