Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Gollini;P;6.5;imgBonus size-s imgBonus_2;222
Titolare;Izzo;D;6.5;;254
Titolare;Barba;D;5;;70
Titolare;Cuadrado;D;7;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;952
Titolare;Reca;D;6;;1756
Titolare;Zielinski;C;6.5;imgBonus size-s imgBonus_9;486
Titolare;Mkhitaryan;C;5.5;;2124
Titolare;Svanberg;C;6;;1802
Titolare;Brozovic;C;5.5;;113
Titolare;Lukaku R.;A;5;;2099
Titolare;Messias;A;5.5;;2300
Riserva;Sportiello;P;;;435
Riserva;Ruiz;C;6.5;imgBonus size-s imgBonus_6;1779
Riserva;Orsolini;A;6;;1519
Riserva;Colley O.;D;6;;1745
Riserva;Gunter;D;5.5;imgBonus size-s imgBonus_6;1805
Riserva;Silva;C;6;;2362
Riserva;Perisic;A;7;imgBonus size-s imgBonus_1;997
