Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Audero;P;7;imgBonus size-s imgBonus_5|imgBonus size-s imgBonus_10;525
Titolare;Alex Sandro;D;5.5;;993
Titolare;Calabria;D;6;;668
Titolare;Skriniar;D;7;;1099
Titolare;Romero C.;D;6;;1890
Titolare;Kessie;C;7;;1191
Titolare;Barella;C;6.5;imgBonus size-s imgBonus_9;809
Titolare;Politano;C;5.5;;510
Titolare;Zapata D.;A;6;;483
Titolare;Destro;A;5.5;;169
Titolare;Lozano;A;5.5;;2108
Riserva;Musso;P;;;1794
Riserva;Miranchuk;C;;;2307
Riserva;Rebic;A;5.5;;625
Riserva;Palomino;D;;;1531
Riserva;Djuricic;C;;;1279
Riserva;Ghiglione;D;6.5;;745
Riserva;Caceres;D;4.5;;118
