Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Perin;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;369
Titolare;Glik;D;6;;219
Riserva;Yoshida;D;;;2182
Titolare;Augello;D;6.5;;2087
Titolare;Pezzella Ge.;D;5;;1644
Titolare;Viola;C;6;;1573
Titolare;Soriano;C;6;;433
Titolare;Zaccagni;C;5.5;imgBonus size-s imgBonus_6;748
Titolare;Kurtic;C;5;;272
Titolare;Ronaldo C.;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;1775
Titolare;Lasagna;A;6;;612
Riserva;Cordaz;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1166
Riserva;Favilli;A;;;1103
Riserva;Kalinic;A;5.5;;983
Riserva;Jankto;C;7;imgBonus size-s imgBonus_1;257
Riserva;Ricci M.;C;6;;2258
Titolare;Gagliolo;D;6;;594
Riserva;Letizia;D;;;595
