Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Reina;P;6;imgBonus size-s imgBonus_2;551
Titolare;Manolas;D;6;;300
Titolare;Vojvoda;D;;;2292
Titolare;Marchizza;D;6.5;;1087
Titolare;Zielinski;C;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;486
Titolare;Locatelli;C;5;;1123
Titolare;Ramsey;C;6.5;imgBonus size-s imgBonus_9;2028
Titolare;Bentancur;C;6.5;imgBonus size-s imgBonus_9;1518
Titolare;Belotti;A;7.5;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;79
Titolare;Orsolini;A;5.5;;1519
Titolare;Boga;A;5;;1840
Riserva;Strakosha;P;;;439
Riserva;Ansaldi;D;;;1026
Riserva;Conti;D;;;730
Riserva;Rrahmani;D;;;2045
Riserva;Muriqi;A;;;2333
Riserva;Jankto;C;5.5;imgBonus size-s imgBonus_6;257
Riserva;Brozovic;C;6.5;imgBonus size-s imgBonus_9;113
